2019-09-01 07:55:53.349580: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2 FMA
2019-09-01 07:55:53.569053: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 0 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.635
pciBusID: 0000:0a:00.0
totalMemory: 10.73GiB freeMemory: 10.53GiB
2019-09-01 07:55:53.691315: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 1 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.635
pciBusID: 0000:0b:00.0
totalMemory: 10.73GiB freeMemory: 10.53GiB
2019-09-01 07:55:53.815821: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:964] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-09-01 07:55:53.816958: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1432] Found device 2 with properties: 
name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.635
pciBusID: 0000:42:00.0
totalMemory: 10.73GiB  >>> Info of model(s):
  using   4 model(s): ../graph.002.pb ../graph.000.pb ../graph.003.pb ../graph.001.pb 
  rcut in model:      5
  ntypes in model:    2
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 6
  ghost atom cutoff = 6
  binsize = 3, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair deepmd, perpetual
      attributes: , newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.934 | 3.934 | 3.934 Mbytes
Step Temp PotEng KinEng TotEng Press Volume Lx Ly Lz Xy Xz Yz 
       0          100   -219.70059  0.051704058   -219.64888   -1834.9096         1000           10           10           10            0            0            0 
      10    130.31237   -219.72303  0.067376782   -219.65566   -1355.3153         1000           10           10           10            0            0            0 
      20    121.88978   -219.72501  0.063021964   -219.66199    -303.2253         1000           10           10           10            0            0            0 
      30    106.18751   -219.70889  0.054903252   -219.65399    808.54219         1000           10           10           10            0            0            0 
      40    74.644692   -219.68036  0.038594335   -219.64176    1521.7983         1000           10           10           10            0            0            0 
      50    88.139575   -219.68363  0.045571737   -219.63806     1497.871         1000           10           10           10            0            0            0 
      60    94.937493    -219.6923  0.049086536   -219.64321    757.89024         1000           10           10           10            0            0            0 
      70    103.23514     -219.698  0.053376758   -219.64463    -372.1353         1000           10           10           10            0            0            0 
      80    92.436487   -219.68502  0.047793415   -219.63723    -1358.948         1000           10           10           10            0            0            0 
      90    91.427439   -219.67648  0.047271696   -219.62921    -1843.256         1000           10           10           10            0            0            0 
     100    121.92113   -219.68712  0.063038172   -219.62408   -1684.0445         1000           10           10           10            0            0            0 
     110    143.09413   -219.69743  0.073985472   -219.62344   -821.80287         1000           10           10           10            0            0            0 
     120    164.98517   -219.70671  0.085304028   -219.62141    470.66196         1000           10           10           10            0            0            0 
     130    125.08491   -219.66183  0.064673976   -219.59715    1729.9646         1000           10           10           10            0            0            0 
     140    145.66369    -219.6562  0.075314041   -219.58088    2033.6254         1000           10           10           10            0            0            0 
     150    154.49236   -219.66339  0.079878819   -219.58351    1192.8358         1000           10           10           10            0            0            0 
     160    173.10023   -219.67163  0.089499844   -219.58213   -237.15029         1000           10           10           10            0            0            0 
     170    141.01572   -219.65303  0.072910849   -219.58012   -1636.2654         1000           10           10           10            0            0            0 
     180    132.39645   -219.64798  0.068454337   -219.57952   -2334.4487         1000           10           10           10            0            0            0 
